started_at,method,path,label,status,elapsed_ms,bytes_read,error
2026-06-04T11:22:24.143343+00:00,GET,/admin-login,Admin login page,200,253.9886000158731,9945,
2026-06-04T11:22:24.174203+00:00,GET,/register,Register page,200,257.4548000120558,39583,
2026-06-04T11:22:23.999831+00:00,GET,/,Root redirect,200,569.1771999991033,30789,
2026-06-04T11:22:24.497303+00:00,GET,/admin-login,Admin login page,200,259.4804000109434,9945,
2026-06-04T11:22:24.451140+00:00,GET,/admin-login,Admin login page,200,307.1101999958046,9945,
2026-06-04T11:22:24.282203+00:00,GET,/,Root redirect,200,616.9895999773871,30789,
2026-06-04T11:22:24.806034+00:00,GET,/admin-login,Admin login page,200,285.90600000461563,9945,
2026-06-04T11:22:24.806034+00:00,GET,/login,Login page,200,287.6778000209015,30789,
2026-06-04T11:22:24.806034+00:00,GET,/static/styles.css,Main stylesheet,200,309.3181000149343,18140,
2026-06-04T11:22:24.591236+00:00,GET,/,Root redirect,200,583.3208000112791,30789,
2026-06-04T11:22:24.946411+00:00,GET,/admin-login,Admin login page,200,241.8115000182297,9945,
2026-06-04T11:22:24.899279+00:00,GET,/static/styles.css,Main stylesheet,200,290.422199992463,18140,
2026-06-04T11:22:25.072035+00:00,GET,/login,Login page,200,363.79269999451935,30789,
2026-06-04T11:22:25.259217+00:00,GET,/admin-login,Admin login page,200,327.2190999996383,9945,
2026-06-04T11:22:25.259217+00:00,GET,/static/styles.css,Main stylesheet,200,342.2238000202924,18140,
2026-06-04T11:22:25.400465+00:00,GET,/static/styles.css,Main stylesheet,200,277.42339999531396,18140,
2026-06-04T11:22:25.603227+00:00,GET,/login,Login page,200,332.1275000052992,30789,
2026-06-04T11:22:25.621229+00:00,GET,/register,Register page,200,344.9565999908373,39583,
2026-06-04T11:22:25.603227+00:00,GET,/admin-login,Admin login page,200,368.4992999769747,9945,
2026-06-04T11:22:25.945622+00:00,GET,/admin-login,Admin login page,200,275.45429999008775,9945,
2026-06-04T11:22:25.697229+00:00,GET,/,Root redirect,200,561.3674999913201,30789,
2026-06-04T11:22:25.698228+00:00,GET,/,Root redirect,200,582.0918999961577,30789,
2026-06-04T11:22:25.680228+00:00,GET,/,Root redirect,200,610.0923999911174,30789,
2026-06-04T11:22:26.117487+00:00,GET,/admin-login,Admin login page,200,236.88330000732094,9945,
2026-06-04T11:22:26.099488+00:00,GET,/,Root redirect,200,523.4229000052437,30789,
2026-06-04T11:22:26.436997+00:00,GET,/login,Login page,200,279.33769999071956,30789,
2026-06-04T11:22:26.483997+00:00,GET,/static/styles.css,Main stylesheet,200,270.882500015432,18140,
2026-06-04T11:22:26.471997+00:00,GET,/static/styles.css,Main stylesheet,200,283.75079997931607,18140,
