started_at,method,path,label,status,elapsed_ms,bytes_read,error
2026-06-04T11:32:57.165270+00:00,GET,/login,Login page,200,551.334499992663,30789,
2026-06-04T11:32:57.146271+00:00,GET,/login,Login page,200,633.0289999896195,30789,
2026-06-04T11:32:57.315271+00:00,GET,/static/styles.css,Main stylesheet,200,465.23960001650266,18140,
2026-06-04T11:32:57.387272+00:00,GET,/admin-login,Admin login page,200,476.862000010442,9945,
2026-06-04T11:32:57.368271+00:00,GET,/static/styles.css,Main stylesheet,200,496.44400001852773,18140,
2026-06-04T11:32:57.185271+00:00,GET,/register,Register page,200,699.7932999802288,39583,
2026-06-04T11:32:57.481273+00:00,GET,/admin-login,Admin login page,200,458.23369998834096,9945,
2026-06-04T11:32:57.424271+00:00,GET,/admin-login,Admin login page,200,516.3836999854539,9945,
2026-06-04T11:32:57.297272+00:00,GET,/register,Register page,200,718.8848000077996,39583,
2026-06-04T11:32:57.425271+00:00,GET,/register,Register page,200,599.6359999990091,39583,
2026-06-04T11:32:57.664271+00:00,GET,/admin-login,Admin login page,200,392.01289997436106,9945,
2026-06-04T11:32:57.386272+00:00,GET,/login,Login page,200,696.9337000045925,30789,
2026-06-04T11:32:57.572274+00:00,GET,/static/styles.css,Main stylesheet,200,514.5958999928553,18140,
2026-06-04T11:32:57.222271+00:00,GET,/static/styles.css,Main stylesheet,200,905.4849999956787,18140,
2026-06-04T11:32:57.512270+00:00,GET,/static/styles.css,Main stylesheet,200,617.0159999746829,18140,
2026-06-04T11:32:57.316272+00:00,GET,/admin-login,Admin login page,200,865.3102999960538,9945,
2026-06-04T11:32:57.334271+00:00,GET,/static/styles.css,Main stylesheet,200,866.6747999959625,18140,
2026-06-04T11:32:57.481273+00:00,GET,/register,Register page,200,720.2955999819096,39583,
2026-06-04T11:32:57.779273+00:00,GET,/static/styles.css,Main stylesheet,200,424.73830000380985,18140,
2026-06-04T11:32:57.145270+00:00,GET,/,Root redirect,200,1112.4921000155155,30789,
2026-06-04T11:32:57.717271+00:00,GET,/login,Login page,200,616.1861000000499,30789,
2026-06-04T11:32:57.457271+00:00,GET,/admin-login,Admin login page,200,878.1694000062998,9945,
2026-06-04T11:32:57.241271+00:00,GET,/register,Register page,200,1096.3356999855023,39583,
2026-06-04T11:32:57.255272+00:00,GET,/login,Login page,200,1083.7985000107437,30789,
2026-06-04T11:32:57.781271+00:00,GET,/static/styles.css,Main stylesheet,200,558.9385000057518,18140,
2026-06-04T11:32:57.800271+00:00,GET,/static/styles.css,Main stylesheet,200,541.2017999915406,18140,
2026-06-04T11:32:57.590271+00:00,GET,/,Root redirect,200,752.2459999890998,30789,
2026-06-04T11:32:57.865273+00:00,GET,/login,Login page,200,478.66740002064034,30789,
2026-06-04T11:32:57.824271+00:00,GET,/register,Register page,200,520.1866999850608,39583,
2026-06-04T11:32:57.512270+00:00,GET,/,Root redirect,200,834.3297000101302,30789,
2026-06-04T11:32:57.940271+00:00,GET,/register,Register page,200,407.6138000236824,39583,
2026-06-04T11:32:58.057271+00:00,GET,/login,Login page,200,367.564099986339,30789,
2026-06-04T11:32:57.983270+00:00,GET,/login,Login page,200,443.55429999995977,30789,
2026-06-04T11:32:57.924271+00:00,GET,/static/styles.css,Main stylesheet,200,504.0512999985367,18140,
2026-06-04T11:32:57.198273+00:00,GET,/,Root redirect,200,1231.062800012296,30789,
2026-06-04T11:32:57.589270+00:00,GET,/,Root redirect,200,851.528800005326,30789,
2026-06-04T11:32:58.179272+00:00,GET,/static/styles.css,Main stylesheet,200,321.3482999999542,18140,
2026-06-04T11:32:57.702271+00:00,GET,/,Root redirect,200,800.3668000164907,30789,
2026-06-04T11:32:58.083271+00:00,GET,/admin-login,Admin login page,200,435.2262000029441,9945,
2026-06-04T11:32:57.530270+00:00,GET,/,Root redirect,200,993.4757000009995,30789,
2026-06-04T11:32:57.742270+00:00,GET,/static/styles.css,Main stylesheet,200,822.6777999952901,18140,
2026-06-04T11:32:58.202270+00:00,GET,/login,Login page,200,363.9635999861639,30789,
2026-06-04T11:32:58.215271+00:00,GET,/login,Login page,200,352.6328000007197,30789,
2026-06-04T11:32:57.645271+00:00,GET,/register,Register page,200,924.3898999993689,39583,
2026-06-04T11:32:57.571273+00:00,GET,/register,Register page,200,999.2895000032149,39583,
2026-06-04T11:32:58.233271+00:00,GET,/register,Register page,200,379.85710002249107,39583,
2026-06-04T11:32:58.291272+00:00,GET,/admin-login,Admin login page,200,342.03130000969395,9945,
2026-06-04T11:32:58.182273+00:00,GET,/register,Register page,200,490.02960001234896,39583,
2026-06-04T11:32:57.837271+00:00,GET,/,Root redirect,200,854.9902999948245,30789,
2026-06-04T11:32:58.297273+00:00,GET,/admin-login,Admin login page,200,397.56020001368597,9945,
2026-06-04T11:32:58.402573+00:00,GET,/admin-login,Admin login page,200,311.86190000153147,9945,
2026-06-04T11:32:57.885271+00:00,GET,/static/styles.css,Main stylesheet,200,885.626700008288,18140,
2026-06-04T11:32:57.735271+00:00,GET,/login,Login page,200,1056.009499996435,30789,
2026-06-04T11:32:58.523575+00:00,GET,/admin-login,Admin login page,200,304.43580000428483,9945,
2026-06-04T11:32:58.445573+00:00,GET,/static/styles.css,Main stylesheet,200,384.04269999591634,18140,
2026-06-04T11:32:58.129274+00:00,GET,/,Root redirect,200,700.6678000034299,30789,
2026-06-04T11:32:58.714574+00:00,GET,/static/styles.css,Main stylesheet,200,577.7697000012267,18140,
2026-06-04T11:32:58.570575+00:00,GET,/admin-login,Admin login page,200,815.3161000227556,9945,
2026-06-04T11:32:58.585573+00:00,GET,/login,Login page,200,972.7327000000514,30789,
2026-06-04T11:32:58.367575+00:00,GET,/,Root redirect,200,1229.496799991466,30789,
2026-06-04T11:32:58.633575+00:00,GET,/static/styles.css,Main stylesheet,200,966.7507999984082,18140,
2026-06-04T11:32:58.542573+00:00,GET,/register,Register page,200,1058.8809000037145,39583,
2026-06-04T11:32:58.835324+00:00,GET,/static/styles.css,Main stylesheet,200,768.1187000125647,18140,
2026-06-04T11:32:58.789573+00:00,GET,/static/styles.css,Main stylesheet,200,814.2755000153556,18140,
