started_at,method,path,label,status,elapsed_ms,bytes_read,error
2026-06-04T11:20:05.728788+00:00,GET,/login,Login page,200,300.1044999982696,30789,
2026-06-04T11:20:06.531398+00:00,GET,/login,Login page,200,360.5041000118945,30789,
2026-06-04T11:20:07.394708+00:00,GET,/static/styles.css,Main stylesheet,200,306.73760001081973,18140,
2026-06-04T11:20:08.216413+00:00,GET,/,Root redirect,200,546.7034999746829,30789,
2026-06-04T11:20:09.268978+00:00,GET,/admin-login,Admin login page,200,279.68169999076054,9945,
2026-06-04T11:20:10.063049+00:00,GET,/register,Register page,200,346.52490000007674,39583,
2026-06-04T11:20:10.913852+00:00,GET,/register,Register page,200,279.9824000103399,39583,
2026-06-04T11:20:11.708757+00:00,GET,/admin-login,Admin login page,200,319.98729999759234,9945,
2026-06-04T11:20:12.532016+00:00,GET,/register,Register page,200,307.89119997643866,39583,
2026-06-04T11:20:13.354956+00:00,GET,/login,Login page,200,340.2510000159964,30789,
2026-06-04T11:20:14.205381+00:00,GET,/admin-login,Admin login page,200,283.29689998645335,9945,
2026-06-04T11:20:14.989529+00:00,GET,/login,Login page,200,258.1769000098575,30789,
2026-06-04T11:20:15.761880+00:00,GET,/admin-login,Admin login page,200,262.8882999997586,9945,
2026-06-04T11:20:16.539204+00:00,GET,/admin-login,Admin login page,200,279.5537000056356,9945,
2026-06-04T11:20:17.332871+00:00,GET,/,Root redirect,200,498.2382000016514,30789,
2026-06-04T11:20:18.343223+00:00,GET,/admin-login,Admin login page,200,338.53879998787306,9945,
2026-06-04T11:20:19.196309+00:00,GET,/,Root redirect,200,561.7353999987245,30789,
2026-06-04T11:20:20.267684+00:00,GET,/login,Login page,200,268.3958999987226,30789,
2026-06-04T11:20:21.038506+00:00,GET,/login,Login page,200,295.40990001987666,30789,
2026-06-04T11:20:21.846136+00:00,GET,/register,Register page,200,251.84169999556616,39583,
2026-06-04T11:20:22.606352+00:00,GET,/register,Register page,200,269.6347000019159,39583,
2026-06-04T11:20:23.383139+00:00,GET,/static/styles.css,Main stylesheet,200,287.0984000037424,18140,
2026-06-04T11:20:24.172265+00:00,GET,/admin-login,Admin login page,200,264.8353000113275,9945,
2026-06-04T11:20:24.949109+00:00,GET,/admin-login,Admin login page,200,246.10600000596605,9945,
2026-06-04T11:20:25.707613+00:00,GET,/admin-login,Admin login page,200,255.5642999941483,9945,
2026-06-04T11:20:26.468532+00:00,GET,/,Root redirect,200,546.4399999764282,30789,
2026-06-04T11:20:27.523674+00:00,GET,/,Root redirect,200,547.2593000158668,30789,
2026-06-04T11:20:28.579215+00:00,GET,/,Root redirect,200,603.6210999882314,30789,
2026-06-04T11:20:29.696069+00:00,GET,/login,Login page,200,310.61300000874326,30789,
2026-06-04T11:20:30.517895+00:00,GET,/static/styles.css,Main stylesheet,200,267.945100000361,18140,
2026-06-04T11:20:31.292381+00:00,GET,/login,Login page,200,253.2591999915894,30789,
2026-06-04T11:20:32.054416+00:00,GET,/static/styles.css,Main stylesheet,200,293.151099991519,18140,
2026-06-04T11:20:32.848830+00:00,GET,/login,Login page,200,284.9246999830939,30789,
2026-06-04T11:20:33.638447+00:00,GET,/login,Login page,200,277.3346000176389,30789,
2026-06-04T11:20:34.428473+00:00,GET,/login,Login page,200,287.7495000138879,30789,
2026-06-04T11:20:35.220020+00:00,GET,/,Root redirect,200,529.8777999996673,30789,
