started_at,method,path,label,status,elapsed_ms,bytes_read,error
2026-06-04T10:21:15.910510+00:00,GET,/admin-login,Admin login page,200,313.26850000186823,9945,
2026-06-04T10:21:15.922510+00:00,GET,/static/styles.css,Main stylesheet,200,337.0773999777157,18140,
2026-06-04T10:21:15.869510+00:00,GET,/register,Register page,200,393.08949999394827,39583,
2026-06-04T10:21:15.947510+00:00,GET,/login,Login page,200,337.23589999135584,30789,
2026-06-04T10:21:16.035512+00:00,GET,/static/styles.css,Main stylesheet,200,293.87409999617375,18140,
2026-06-04T10:21:15.987511+00:00,GET,/,Root redirect,200,573.3489000122063,30789,
2026-06-04T10:21:15.965511+00:00,GET,/login,Login page,200,709.9148000124842,30789,
2026-06-04T10:21:15.868510+00:00,GET,/static/styles.css,Main stylesheet,200,822.4014999868814,18140,
2026-06-04T10:21:16.058513+00:00,GET,/static/styles.css,Main stylesheet,200,665.6140999984927,18140,
2026-06-04T10:21:15.947510+00:00,GET,/admin-login,Admin login page,200,817.9367000120692,9945,
2026-06-04T10:21:16.738510+00:00,GET,/login,Login page,200,349.5178000011947,30789,
2026-06-04T10:21:16.769511+00:00,GET,/static/styles.css,Main stylesheet,200,333.14139998401515,18140,
2026-06-04T10:21:16.831655+00:00,GET,/login,Login page,200,272.2075999772642,30789,
2026-06-04T10:21:16.769511+00:00,GET,/static/styles.css,Main stylesheet,200,348.86050000204705,18140,
2026-06-04T10:21:16.804511+00:00,GET,/login,Login page,200,315.2131999959238,30789,
2026-06-04T10:21:17.067666+00:00,GET,/static/styles.css,Main stylesheet,200,282.0339999743737,18140,
2026-06-04T10:21:17.177290+00:00,GET,/register,Register page,200,287.1813000238035,39583,
2026-06-04T10:21:17.194295+00:00,GET,/admin-login,Admin login page,200,289.72349999821745,9945,
2026-06-04T10:21:17.224685+00:00,GET,/admin-login,Admin login page,200,294.8488999973051,9945,
2026-06-04T10:21:17.272241+00:00,GET,/login,Login page,200,318.43680000747554,30789,
2026-06-04T10:21:17.616271+00:00,GET,/register,Register page,200,330.29670000541955,39583,
2026-06-04T10:21:17.652272+00:00,GET,/static/styles.css,Main stylesheet,200,295.9373999910895,18140,
2026-06-04T10:21:17.598272+00:00,GET,/static/styles.css,Main stylesheet,200,352.4489999981597,18140,
2026-06-04T10:21:17.616271+00:00,GET,/static/styles.css,Main stylesheet,200,342.68089997931384,18140,
2026-06-04T10:21:17.850212+00:00,GET,/static/styles.css,Main stylesheet,200,351.3043000129983,18140,
2026-06-04T10:21:17.652272+00:00,GET,/,Root redirect,200,593.2033999997657,30789,
2026-06-04T10:21:17.992871+00:00,GET,/register,Register page,200,272.1227000001818,39583,
2026-06-04T10:21:17.974874+00:00,GET,/admin-login,Admin login page,200,321.59939999110065,9945,
2026-06-04T10:21:18.022705+00:00,GET,/login,Login page,200,284.891500021331,30789,
2026-06-04T10:21:18.100372+00:00,GET,/register,Register page,200,291.5807999961544,39583,
2026-06-04T10:21:18.461968+00:00,GET,/static/styles.css,Main stylesheet,200,334.4451999873854,18140,
2026-06-04T10:21:18.461968+00:00,GET,/admin-login,Admin login page,200,342.59299997938797,9945,
2026-06-04T10:21:18.461968+00:00,GET,/login,Login page,200,381.93870001123287,30789,
2026-06-04T10:21:18.461968+00:00,GET,/login,Login page,200,382.7247000008356,30789,
2026-06-04T10:21:18.711213+00:00,GET,/static/styles.css,Main stylesheet,200,287.62710001319647,18140,
2026-06-04T10:21:18.759063+00:00,GET,/admin-login,Admin login page,200,294.8377000284381,9945,
2026-06-04T10:21:18.825100+00:00,GET,/static/styles.css,Main stylesheet,200,241.1429999920074,18140,
2026-06-04T10:21:18.777091+00:00,GET,/register,Register page,200,293.40319999028,39583,
2026-06-04T10:21:18.807100+00:00,GET,/static/styles.css,Main stylesheet,200,302.6065000158269,18140,
2026-06-04T10:21:18.900972+00:00,GET,/,Root redirect,200,602.266799978679,30789,
2026-06-04T10:21:19.305399+00:00,GET,/admin-login,Admin login page,200,304.5558000158053,9945,
2026-06-04T10:21:19.305399+00:00,GET,/static/styles.css,Main stylesheet,200,305.4464999877382,18140,
2026-06-04T10:21:19.351923+00:00,GET,/login,Login page,200,286.09249999863096,30789,
2026-06-04T10:21:19.507823+00:00,GET,/login,Login page,200,339.0773000137415,30789,
2026-06-04T10:21:19.554823+00:00,GET,/admin-login,Admin login page,200,353.37120000622235,9945,
2026-06-04T10:21:19.616822+00:00,GET,/admin-login,Admin login page,200,293.3824999781791,9945,
2026-06-04T10:21:19.351923+00:00,GET,/,Root redirect,200,614.7281999874394,30789,
2026-06-04T10:21:19.589822+00:00,GET,/,Root redirect,200,581.0558999946807,30789,
2026-06-04T10:21:19.571822+00:00,GET,/,Root redirect,200,612.2162000101525,30789,
2026-06-04T10:21:20.005491+00:00,GET,/static/styles.css,Main stylesheet,200,302.3576000123285,18140,
2026-06-04T10:21:20.115492+00:00,GET,/login,Login page,200,275.82819998497143,30789,
2026-06-04T10:21:20.150492+00:00,GET,/register,Register page,200,302.8512999881059,39583,
2026-06-04T10:21:20.348501+00:00,GET,/admin-login,Admin login page,200,365.6883999938145,9945,
2026-06-04T10:21:20.115492+00:00,GET,/,Root redirect,200,606.7716000252403,30789,
2026-06-04T10:21:20.416501+00:00,GET,/register,Register page,200,315.57880001491867,39583,
2026-06-04T10:21:20.416501+00:00,GET,/static/styles.css,Main stylesheet,200,499.1849999933038,18140,
2026-06-04T10:21:20.677511+00:00,GET,/admin-login,Admin login page,200,242.01059999177232,9945,
2026-06-04T10:21:20.694512+00:00,GET,/static/styles.css,Main stylesheet,200,282.7613999834284,18140,
2026-06-04T10:21:20.818370+00:00,GET,/register,Register page,200,276.8159999977797,39583,
2026-06-04T10:21:20.473975+00:00,GET,/,Root redirect,200,658.6925000010524,30789,
2026-06-04T10:21:20.896936+00:00,GET,/register,Register page,200,290.0020999950357,39583,
2026-06-04T10:21:20.958756+00:00,GET,/admin-login,Admin login page,200,326.7598999955226,9945,
2026-06-04T10:21:21.223439+00:00,GET,/static/styles.css,Main stylesheet,200,296.06279998552054,18140,
2026-06-04T10:21:21.223439+00:00,GET,/static/styles.css,Main stylesheet,200,306.99330000788905,18140,
2026-06-04T10:21:21.427533+00:00,GET,/static/styles.css,Main stylesheet,200,306.21930002234876,18140,
2026-06-04T10:21:21.427533+00:00,GET,/static/styles.css,Main stylesheet,200,326.89359999494627,18140,
2026-06-04T10:21:21.489539+00:00,GET,/static/styles.css,Main stylesheet,200,284.27520001423545,18140,
2026-06-04T10:21:21.262438+00:00,GET,/,Root redirect,200,550.4384000087157,30789,
2026-06-04T10:21:21.599539+00:00,GET,/register,Register page,200,316.6016000031959,39583,
2026-06-04T10:21:21.646542+00:00,GET,/login,Login page,200,301.9569999887608,30789,
2026-06-04T10:21:21.693543+00:00,GET,/admin-login,Admin login page,200,280.54370000609197,9945,
2026-06-04T10:21:21.787542+00:00,GET,/static/styles.css,Main stylesheet,200,291.75299999769777,18140,
2026-06-04T10:21:22.039555+00:00,GET,/login,Login page,200,298.29370000516064,30789,
2026-06-04T10:21:22.021554+00:00,GET,/login,Login page,200,318.5883999976795,30789,
2026-06-04T10:21:22.239684+00:00,GET,/register,Register page,200,368.8540000002831,39583,
2026-06-04T10:21:22.287685+00:00,GET,/register,Register page,200,322.21169999684207,39583,
2026-06-04T10:21:22.425731+00:00,GET,/register,Register page,200,282.0351000118535,39583,
2026-06-04T10:21:22.456730+00:00,GET,/admin-login,Admin login page,200,289.98679999494925,9945,
2026-06-04T10:21:22.487730+00:00,GET,/admin-login,Admin login page,200,260.9705000068061,9945,
2026-06-04T10:21:22.257685+00:00,GET,/,Root redirect,200,559.9987999885343,30789,
2026-06-04T10:21:22.318724+00:00,GET,/,Root redirect,200,562.6645000011194,30789,
2026-06-04T10:21:22.582730+00:00,GET,/login,Login page,200,446.7466000060085,30789,
2026-06-04T10:21:22.845243+00:00,GET,/static/styles.css,Main stylesheet,200,305.68119999952614,18140,
2026-06-04T10:21:22.845243+00:00,GET,/login,Login page,200,307.6664000109304,30789,
2026-06-04T10:21:23.111445+00:00,GET,/admin-login,Admin login page,200,267.6309999951627,9945,
2026-06-04T10:21:23.251670+00:00,GET,/register,Register page,200,317.5145999994129,39583,
2026-06-04T10:21:23.251670+00:00,GET,/static/styles.css,Main stylesheet,200,334.7252999956254,18140,
2026-06-04T10:21:23.329138+00:00,GET,/login,Login page,200,360.26309998123907,30789,
2026-06-04T10:21:23.111445+00:00,GET,/,Root redirect,200,579.1001000034157,30789,
2026-06-04T10:21:23.391758+00:00,GET,/admin-login,Admin login page,200,308.1889000022784,9945,
2026-06-04T10:21:23.220164+00:00,GET,/,Root redirect,200,590.9112000081223,30789,
2026-06-04T10:21:23.652919+00:00,GET,/register,Register page,200,300.6050999974832,39583,
2026-06-04T10:21:23.530545+00:00,GET,/,Root redirect,200,559.4721000234131,30789,
2026-06-04T10:21:23.670920+00:00,GET,/,Root redirect,200,510.6550000200514,30789,
2026-06-04T10:21:23.886301+00:00,GET,/static/styles.css,Main stylesheet,200,308.6769999936223,18140,
